;Пиво;bar;;1;
;Крепкие алкогольные напитки;bar;;2;
;Коктейли;bar;;3;
;Разливное;bar;1;1;
;Бутылочное;bar;1;2;
;Безалкогольное;bar;1;3;
;Водка;bar;2;1;
;Настойки собственного приготовления;bar;2;2;
;Биттеры и Настойки;bar;2;3;
;Коньяк и Бренди;bar;2;4;
;Виски;bar;2;5;
;Текила;bar;2;6;
;Ром;bar;2;7;
;Джин;bar;2;8;
;Ликеры;bar;2;9;
;Коктейли;bar;3;1;
;Игристые вина;wine;;1;
;Вино домашнее;wine;;2;
;Вино;wine;;3;
